450,
450, 465, 724, 899, 699, 419, 295, 566, 547, 468, 446, 110, 134, 696, 413, 700, 638, 241, 943, 546, 880, 507, 756, 431, 412, 663, 349, 70, 800, 294, 100,
100, 507, 150, 552, 310, 279, 921, 386, 528, 159, 461, 536, 624, 792, 854, 391, 74, 363, 129, 898, 490, 642, 776, 358, 899, 366, 934, 930, 369, 746, 587,
587, 797, 644, 694, 63, 997, 488, 898, 999, 168, 943, 238, 769, 515, 299, 182, 223, 432, 978, 485, 222, 465, 216, 684, 308, 58, 26, 178, 56, 442, 716,
716, 762, 49, 141, 173, 166, 266, 555, 785, 504, 283, 710, 313, 755, 898, 710, 150, 607, 393, 610, 131, 671, 161, 836, 263, 611, 569, 824, 586, 407, 677,
677, 139, 358, 255, 553, 695, 739, 827, 787, 207, 658, 391, 928, 536, 895, 427, 628, 610, 419, 144, 268, 275, 223, 79, 317, 576, 184, 216, 188, 483, 743,
743, 944, 479, 72, 428, 719, 718, 686, 490, 892, 812, 381, 208, 606, 894, 85, 597, 928, 884, 861, 200, 330, 586, 531, 887, 373, 96, 867, 833, 596, 722,
722, 515, 592, 243, 264, 994, 939, 509, 45, 62, 927, 110, 343, 813, 573, 24, 716, 135, 499, 488, 374, 817, 395, 763, 938, 193, 60, 932, 920, 756, 893,
893, 237, 193, 365, 964, 999, 307, 88, 277, 916, 876, 394, 410, 464, 384, 699, 575, 451, 543, 830, 313, 584, 517, 57, 205, 797, 614, 725, 65, 575, 31,
31, 402, 826, 31, 380, 226, 494, 631, 750, 119, 507, 581, 526, 474, 392, 393, 476, 774, 581, 591, 172, 710, 246, 347, 111, 790, 312, 688, 360, 495, 710,
710, 925, 90, 440, 8, 732, 411, 288, 365, 439, 369, 893, 306, 510, 961, 728, 559, 539, 889, 818, 517, 613, 790, 458, 153, 953, 297, 956, 207, 368, 919,
919, 722, 545, 170, 671, 132, 283, 144, 464, 413, 652, 970, 55, 103, 546, 182, 511, 666, 796, 968, 902, 408, 287, 155, 301, 365, 761, 696, 879, 628, 773,
773, 316, 567, 492, 975, 794, 242, 844, 434, 61, 478, 496, 232, 997, 612, 128, 337, 628, 241, 781, 365, 165, 193, 131, 80, 494, 188, 139, 484, 534, 218,
218, 465, 727, 138, 605, 999, 184, 373, 941, 60, 503, 508, 584, 842, 371, 479, 624, 23, 997, 658, 171, 433, 672, 635, 218, 311, 251, 790, 760, 960, 402,
402, 806, 295, 491, 756, 14, 631, 27, 709, 683, 178, 648, 78, 776, 262, 386, 760, 346, 98, 210, 446, 755, 47, 617, 660, 503, 530, 812, 592, 775, 864,
864, 708, 106, 884, 118, 472, 904, 545, 670, 316, 140, 833, 975, 643, 443, 588, 874, 42, 964, 31, 365, 199, 958, 315, 7, 226, 203, 54, 827, 691, 510,
510, 879, 224, 171, 29, 228, 759, 611, 261, 466, 126, 305, 541, 804, 190, 187, 519, 655, 711, 97, 396, 566, 586, 677, 110, 887, 923, 346, 959, 378, 19,
19, 275, 352, 134, 208, 872, 924, 486, 746, 766, 653, 576, 268, 48, 215, 238, 308, 442, 490, 377, 287, 800, 315, 218, 382, 4, 997, 920, 101, 274, 3,
3, 217, 324, 973, 124, 28, 487, 264, 141, 509, 25, 55, 974, 904, 516, 795, 727, 59, 653, 689, 448, 257, 970, 311, 980, 108, 530, 493, 920, 717, 736,
736, 790, 14, 136, 358, 147, 660, 337, 597, 286, 373, 554, 846, 985, 787, 153, 209, 927, 194, 257, 681, 909, 169, 340, 149, 914, 447, 99, 30, 678, 898,
898, 573, 701, 860, 944, 149, 288, 516, 599, 656, 224, 106, 480, 881, 876, 652, 904, 854, 154, 639, 368, 937, 499, 750, 97, 94, 910, 564, 890, 453, 328,
328, 633, 916, 41, 290, 348, 998, 626, 263, 177, 1000, 464, 756, 355, 304, 65, 627, 832, 397, 476, 227, 878, 919, 595, 980, 970, 314, 801, 754, 430, 356,
356, 764, 532, 101, 66, 993, 985, 813, 899, 125, 490, 357, 980, 740, 631, 986, 9, 11, 526, 264, 767, 890, 111, 467, 315, 167, 581, 141, 199, 73, 748,
748, 906, 237, 703, 810, 300, 189, 44, 394, 411, 76, 714, 32, 57, 812, 212, 120, 981, 598, 269, 228, 94, 442, 251, 42, 317, 992, 595, 151, 262, 730,
730, 152, 673, 522, 589, 411, 602, 538, 564, 150, 629, 625, 888, 952, 92, 333, 745, 919, 777, 511, 434, 608, 17, 228, 642, 470, 397, 525, 714, 932, 328,
